airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
3105,Chaudhary Charan Singh International Airport,Lucknow,India,LKO,VILK,26.7605991364,80.8892974854,410,5.5,N,Asia/Calcutta,airport,OurAirports,Chaudhary Charan Singh International Airport,ChIJn3aTu075mzkRNWbHdA6FXdI,"Chaudhary Charan Singh International Airport (LKO), Amausi, Lucknow, Uttar Pradesh 226009, India",3.9,3047,https://www.aai.aero/en/airports/lucknow
3106,Pathankot Airport,Pathankot,India,IXP,VIPK,32.233611,75.63444399999999,1017,5.5,N,Asia/Calcutta,airport,OurAirports,Pathankot Airport,ChIJqfhcM7CAGzkRUXZIQ372v7o,"Pathankot Airport, Pathankot, Punjab 145001, India",4.1,189,not found
3107,Patiala Airport,Patiala,India,\N,VIPL,30.314800262451172,76.364501953125,820,5.5,N,Asia/Calcutta,airport,OurAirports,Patiala Airport,ChIJBZLhlSovEDkRFKXltyzDaYw,"Patiala Airport, National Highway 64, Tarapore Enclave, Patiala, Punjab 147001, India",4,150,not found
3108,Pantnagar Airport,Nainital,India,PGH,VIPT,29.03339958190918,79.47370147705078,769,5.5,N,Asia/Calcutta,airport,OurAirports,Pantnagar Airport,ChIJ87HLZTOHoDkRqPbMBjFb2OI,"Pantnagar Airport, Udham Singh Nagar, Pantnagar, Uttarakhand 263145, India",4.1,139,not found
3109,Fursatganj Airport,Raibarelli,India,\N,VIRB,26.24850082397461,81.38050079345703,360,5.5,N,Asia/Calcutta,airport,OurAirports,Raebareli Airport,ChIJbxJOUNKomzkRasoUk9fUcQY,"Raebareli Airport, Road To Fursatganj Airfield, Fursatganj, Uttar Pradesh 229302, India",3.6,36,http://www.igrua.gov.in/
3111,Sarsawa Air Force Station,Saharanpur,India,\N,VISP,29.993900299072266,77.42530059814453,891,5.5,N,Asia/Calcutta,airport,OurAirports,Sarsawa Airport,ChIJY0Zw1crtDjkRikU2tm8WzJM,"Sarsawa Airport, Sherpur Naqeebpur, Uttar Pradesh 247232, India",4.1,35,not found
3112,Sheikh ul Alam Airport,Srinagar,India,SXR,VISR,33.987098693847656,74.77420043945312,5429,5.5,N,Asia/Calcutta,airport,OurAirports,Sheikh Ul-Alam International Airport Srinagar,ChIJdc1DXgKS4TgRFwTR5rC-vt8,"Sheikh Ul-Alam International Airport Srinagar, Indragandhi Road, Humhama, Badgam, Srinagar, Jammu and Kashmir 190007",4,945,https://www.srinagarairport.com/
3113,Satna Airport,Satna,India,TNI,VIST,24.5623,80.854897,1060,5.5,N,Asia/Calcutta,airport,OurAirports,Bharhut Airport Satna,ChIJIRRHHB1_hDkRm7o-TPu3GA8,"Bharhut Airport Satna, Airport Rd, Krishna Nagar, Satna, Madhya Pradesh 485001, India",3.7,38,http://www.mptourism.com/
3115,Luang Phabang International Airport,Luang Prabang,Laos,LPQ,VLLB,19.897300720214844,102.16100311279295,955,7.0,U,Asia/Vientiane,airport,OurAirports,Luang Prabang Airport,ChIJc5uiPh0qLzERtSHwEpYhONU,"Luang Prabang Airport, Laos",3.4,312,https://www.luangprabangairport.com/
3116,Pakse International Airport,Pakse,Laos,PKZ,VLPS,15.132100105285645,105.78099822998048,351,7.0,U,Asia/Vientiane,airport,OurAirports,Pakse International Airport,ChIJK5Rbh_dVFDERTg4NOMGkyvU,"Pakse International Airport, Pakxé, Laos",3.7,25,not found
3117,Phonesavanh Airport,Phong Savanh,Laos,\N,VLPV,19.45490074157715,103.21800231933594,3628,7.0,U,Asia/Vientiane,airport,OurAirports,not found,not found,not found,not found,not found,not found
3118,Savannakhet Airport,Savannakhet,Laos,ZVK,VLSK,16.55660057067871,104.76000213623048,509,7.0,U,Asia/Vientiane,airport,OurAirports,Savannakhet Airport,ChIJRRZU0uTFPTERqpLUvHP76Zc,"Savannakhet Airport, Savannakhét, Laos",3.7,106,not found
3119,Sam Neua Airport,Sam Neua,Laos,NEU,VLSN,20.418399810791016,104.06700134277344,3281,7.0,U,Asia/Vientiane,airport,OurAirports,Na-San Airport,ChIJzUIl_R1ZMjERlGqRoNK51GA,"Na-San Airport (SQH), QL6, Chiềng Mung, Mai Sơn, Sơn La, Vietnam",4.1,26,not found
3120,Wattay International Airport,Vientiane,Laos,VTE,VLVT,17.988300323500003,102.56300354,564,7.0,U,Asia/Vientiane,airport,OurAirports,Wattay International Airport,ChIJNbrzrbBpJDERiHUeiztabHI,"Wattay International Airport, 19 ຖະໜົນສາຍລົມ, Vientiane, Laos",3.6,449,https://www.vientianeairport.com/
3121,Macau International Airport,Macau,Macau,MFM,VMMC,22.149599,113.592003,20,8.0,U,Asia/Macau,airport,OurAirports,Macau International Airport,ChIJifeluvdvATQRjYLO00qp3u4,"Macau International Airport (MFM), Macao",3.4,739,http://www.macau-airport.com/en
3122,Gautam Buddha Airport,Bhairawa,Nepal,BWA,VNBW,27.505685,83.41629300000002,358,5.75,N,Asia/Katmandu,airport,OurAirports,Gautam Buddha International Airport,ChIJF7JdWqGQljkRkX5Vejy4lJ0,"Gautam Buddha International Airport, काठमाडौँ 32900, Nepal",4,218,http://caanepal.gov.np/
3124,Janakpur Airport,Janakpur,Nepal,JKR,VNJP,26.708799362199997,85.92240142819998,256,5.75,N,Asia/Katmandu,airport,OurAirports,Janakpur Airport,ChIJoRojMXJA7DkRRLjhQDyJWKs,"Janakpur Airport, Janakpur 45600, Nepal",4,124,not found
3125,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.6966,85.3591,4390,5.75,N,Asia/Katmandu,airport,OurAirports,Tribhuvan International Airport,ChIJxSs0ayYa6zkRG6-JmoL6u3M,"Tribhuvan International Airport (KTM), Ring Rd, Kathmandu 44600, Nepal",3.4,1919,http://www.tiairport.com.np/
3127,Pokhara Airport,Pokhara,Nepal,PKR,VNPK,28.20089912414551,83.98210144042969,2712,5.75,N,Asia/Katmandu,airport,OurAirports,Pokhara Airport,ChIJBTRVuaWVlTkR3SO1W9S-8Es,"Pokhara Airport, Pokhara 33700, Nepal",4,338,not found
3128,Simara Airport,Simara,Nepal,SIF,VNSI,27.15950012207031,84.9801025390625,450,5.75,N,Asia/Katmandu,airport,OurAirports,Simara Airport,ChIJz-eLaYpU6zkRFEWoMYKlsZQ,"Simara Airport, Airport Rd 44412, Gadhimai 44400, Nepal",3.6,102,not found
